prem	hyp	label	annotated_label	lexical_linguistic	syntactic_linguistic	factivity_linguistic	negation_logic	boolean_logic	quantifier_logic	conditional_logic	comparative_logic	relational_reasoning	spatial_reasoning	temporal_reasoning	causal_reasoning	coreference_reasoning	world_knowledge	taxonomic_knowledge	general_q2	subject_q2	object_q2	pairID	genre
I can remember Mom and Dad saying Grandmom in the kitchen hollering, Daddy, Daddy, Daddy I wish you wouldn't talk like that in front of the girls.	I would prefer if you did not speak in such away in front of the children.	entailment	entailment	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-	-	-	49646e	facetoface
"""Bauerstein."""""""	Alfred Inglethorp	contradiction	contradiction	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-	-	-	22647c	fiction
They lived across the street from us in PA.	They lived in the city next to ours.	contradiction	contradiction	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	-	-	-	31821c	facetoface
Return the completed card with your check by October 15 to receive an invitation to a special artist dinner on November 8.	Sent the check by November 28th and you will receive a special letter.	contradiction	contradiction	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	-	-	-	127153c	letters
and uh i'm originally from Virginia and uh and my memories of summer have always been that stifling humidity	I've never stepped foot in Virginia and I have no idea what summers are like there.	contradiction	contradiction	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	-	-	-	51489c	telephone
i don't know what kind of a summer we're expecting this year i imagine it's going to be hot again	I guess this summer will be another warm one; we'll see.	entailment	entailment	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	-	-	-	60397e	telephone
Escaped or abandoned raccoons have been breeding in the wild for the past 20 years and have damaged corn crops, watermelon and melon farms, and rainbow trout hatcheries, the paper said.	Raccoons, if they are abandoned, tend to damage things- this is what has been happening for the past 20 years.	entailment	entailment	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	-	-	-	4035e	slate
Around the corner is the huge, domed, Neo-Classical Panth??on.	Turn the corner to find the Neo-Classical Pantheon.	entailment	entailment	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-	-	-	37606e	travel
"""I have been visiting an old woman in the village, she explained, """"and as Lawrence told me you were with Monsieur Poirot I thought I would call for you."""""""	There is an old woman in the village that I have been visiting. 	entailment	entailment	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	-	-	-	29186e	fiction
The controller understood, but chose to  Calling Cleveland Center, you're unreadable.	The controller decided to not act at all and didn't understood the issue.	contradiction	contradiction	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	-	-	-	111715c	nineeleven
He boarded the aircraft, asked the Secret Service about the safety of his family, and called the Vice President.	After boarding the aircraft, he asked the secret service if his family was alright, then he called the vice President.	entailment	entailment	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	-	-	-	60902e	nineeleven
You may recall from my earlier letter regarding our 50th reunion that a room in the Union Building has been reserved for our use following the banquet on Friday.	I did not talk about room reservations in my letter.	contradiction	contradiction	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	-	-	-	103773c	letters
We are pleased to tell you of a very exciting development with the fund, which has reached a market value of $750,000.	The fund now has a market value of $750,000.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	-	-	-	68144e	letters
Any subsequent alterations to the data can be readily detected.	Changes to the data can't be detected.	contradiction	contradiction	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	-	-	-	10974c	government
Both set off the alarm, and they were directed to a second metal detector.	Two people were directed to a metal detector after setting off the alarm.	entailment	entailment	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	-	-	-	98554e	nineeleven
Ooh, one of my three older sisters.	One of my sisters.	entailment	entailment	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	-	-	-	63669e	facetoface
Obviously, I could not say much.	I talked his ear off. 	contradiction	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	125568c	verbatim
Controllers would notify their supervisors, who in turn would inform management all the way up to FAA headquarters in Washington.	The controllers wouldn't notify their managers and the managers wouldn't notify the FAA.	contradiction	contradiction	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	-	-	-	47919c	nineeleven
In 1923, Turkey broke away from the tired Ottoman rulers, and Kemal Ataturk rose to power on a wave of popular support.	Kemal Ataturk was never affiliated with the Ottoman Empire.	contradiction	contradiction	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	-	-	-	74461c	travel
Any Muslim who rejects his ideas is just one more nonbeliever worthy of destruction.	Muslims can freely reject his ideas without fear of condemnation.	contradiction	contradiction	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	-	-	-	60024c	nineeleven
oh yeah IBM uh i mean uh a lot of people use human factors folks but IBM is what i'm looking at right now	Tons of people think about human factors but I'm looking at IBM right now.	entailment	entailment	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	-	-	-	87087e	telephone
and uh the whole organization was targeting to replace whole life policies with a term life with annuity an annuity and uh	The whole organization was prepared to fight to keep whole life policies with a term life with annuity.	contradiction	entailment	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	-	-	-	111805c	telephone
Do you still want to be a nurse or--?	Do you want to be a nurse still?	entailment	entailment	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	-	-	-	25199e	facetoface
He could make quite an issue out of the need to determine the characteristic impedance of their sky.	He had no reason to make an issue of the situation.	contradiction	contradiction	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	-	-	-	118393c	fiction
What the judge really wants are the facts -- he wants to make a good decision, he said.	The judge does not care about the facts, everything he des is based on feeling.	contradiction	contradiction	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	-	-	-	20181c	government
Since a second copy exceeded the first by one hundred percent, it was considered an abundance.	The second copy was dwarfed by the first	contradiction	contradiction	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-	-	-	38313c	verbatim
yeah i have too and i found it real interesting but	I have also, and it somewhat interested me. 	entailment	entailment	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-	-	-	125959n	telephone
Well, she's found.	She remains hidden. 	contradiction	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-	-	-	61691c	fiction
An important part of U.S. diplomacy is getting sovereign states to work together voluntarily.	It's important to get states to work together.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	-	-	-	126461e	slate
We were putting siding on her house and beat on the door nobody comes to the door it's summertime everybody sleeping until 10:00.	There was siding on her house.	entailment	contradiction	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	-	-	-	26486n	facetoface
For example, the success of The Gap's jeans, J. C. Penney's Arizona line, and Sears's Canyon River Blue line has led to erosion of the market share held by the two leading jeans manufacturers, Levi Strauss and VF Corporation.	Levi Strauss was one of the jeans manufacturers that lost market share to the success of jeans by brands like The Gap.	entailment	entailment	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	-	-	-	35035e	oup
Indeed, efforts to use public concern, and at times outrage, to tackle the sweatshop problem go back to the early part of this century.	Efforts to curb sweat shop problems go back to the early century.	entailment	entailment	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-	-	-	75251e	oup
What is  counterproductive  is the notion that speakers of a language have to recognize semantic  they don't  recognize  it, they create it.	Speaking a language is counterproductive.	contradiction	contradiction	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-	-	-	43981c	verbatim
Such information is very likely to be misinterpreted by the average user, who does not approach a dictionary with a critical eye.	The average user has a critical eye and is unlikely to misinterpret the information.	contradiction	contradiction	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-	-	-	89071c	verbatim
Look at this.	Please direct your attention elsewhere. 	contradiction	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	99761c	facetoface
Sixty percent of Americans are frustrated and angry with the health-care system, and 70 percent favor federal intervention.	Most Americans want to see major changes in the health-care system.	entailment	entailment	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	-	-	-	68583n	slate
Under the leadership of Dean H. William Gilmore, the school has identified student support and technological infrastructure as the greatest needs in this year's annual fund appeal.	Student support and technological infrastructure are the key areas in need of funding this year, per the school, led by Dean H William Gilmore.	entailment	entailment	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	-	-	-	66758e	letters
Over their backs fell the cutting lashes of a whip.	They were whipped everywhere else except for their backs.	contradiction	contradiction	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	-	-	-	575c	fiction
The majority of the agencies that responded appreciated GAO's initiative to develop the protocols and said that they were comprehensive and provided a framework for meaningful communication.	The agencies that responded appreciated the initiative by GAO.	entailment	entailment	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	-	-	-	15684e	government
 No, he is a hijack.	Everyone on the plane is safe and there was a simple plane malfunction.	contradiction	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-	-	-	24638c	nineeleven
yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food	I am not picky about what kind of food I eat I just don't want to travel far. 	entailment	entailment	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	-	-	-	78013n	telephone
   About someone who is in complete charge of a project, they could say,  He runs things completely!	'He is completely useless!', is what they could say about someone who is in complete charge of a project.	contradiction	contradiction	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-	-	-	66093c	verbatim
actually i think abortion's going to take a turn where there's not going to be as many because i think contraceptives are going to be more popular i mean i realize that they are popular now but i think	The rise in the use of contraceptives will push the abortion rate even higher.	contradiction	contradiction	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	-	-	-	132673c	telephone
Your support is vital and your generosity will make a real difference.	Your support is vital to the future.	entailment	neutral	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	-	-	-	114539e	letters
Thus, if a retailer follows the simplest strategy of ordering at the beginning of each week exactly those items that sold during the previous week, manufacturers must be prepared to ship an unknown number of items each week.	Manufacturers shouldn't expect to know the number of items for every week in advance.	entailment	neutral	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	-	-	-	34571e	oup
Between 9:01 and 9:02, a manager from New York Center told the Command Center in 	Between 9:01 and 9:02, nobody contacted the Command Center.	contradiction	contradiction	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	-	-	-	99274c	nineeleven
But after September 1996, when first Jalalabad and then Kabul fell to the Taliban, Bin Ladin cemented his ties with them.	The Taliban cemented ties in Jalalabad and Kabul	entailment	contradiction	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	-	-	-	30566n	nineeleven
At 8:26, Ong reported that the plane was flying erratically.	Reports of the plane flying erratically were made.	entailment	entailment	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-	-	-	138870e	nineeleven
2. Receiving Water Samples	The water samples should be received.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	43897e	government
and these comments were considered in formulating the interim rules.	The interim rules failed to take the comments into consideration.	contradiction	contradiction	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-	-	-	117886c	government
Perhaps $100 is more to your liking or, perhaps, you would be interested in making several smaller gifts during the year.	If you are interested, you can give us small gifts throughout the year, or you can give us $100 now. 	entailment	entailment	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	-	-	-	48640e	letters
At first, the adult tries to capture the child's attention by working the toy and, as the clown emerges, exclaiming,  Pop!	The adult tried not to capture the child's attention with the jack in the box.	contradiction	contradiction	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-	-	-	60680c	oup
...One nation, invisible.	An invisible nation.	entailment	entailment	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	96468e	verbatim
BUDGETARY RESOURCES - The forms of authority given to an agency allowing it to incur obligations.	Budgetary resources is a term used to sum up the agency's ability to take on obligations.	entailment	entailment	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	38156e	government
, First-Class Mail used by households to pay their bills) and the household bill mail (i.e.	First-Class Mail is never used by households to pay their bills	contradiction	contradiction	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-	-	-	71845c	government
Reportedly the biggest payment made in such a case, it is hardly a nick in Texaco's annual revenue of more than $30 billion.	The biggest payment they made barely hurt their profits.	entailment	entailment	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	-	-	-	132038e	slate
Joseph Lister pioneered the use of carbolic acid to keep wounds clean, and James Young Simpson experimented with chloroform as an anesthetic.	No one knows who pioneered the use of carbolic acid and chloroform for new purposes.	contradiction	contradiction	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	-	-	-	35670c	travel
No, indeed, said Cynthia. 	Certainly not, said Cynthia.	entailment	entailment	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	30824e	fiction
Traditionally, certain designs were reserved for royalty, but today elegant geometric or exuberant, stylized floral patterns are available to all.	Nowadays, elegant designs once reserved for royalty are available to everyone.	entailment	entailment	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	-	-	-	10724e	travel
The field is about 100 years old.	The field is 2 years old.	contradiction	contradiction	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	-	-	-	108474c	verbatim
If not the most beautiful, the chateau is certainly the most formidable in the Loire Valley, a real defensive fortress, its black ramparts still forbidding despite having had their towers decapitated on the orders of Henri III.	The chateau is certainly the least formidable in all of the Loire Valley.	contradiction	contradiction	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	-	-	-	146103c	travel
if the United States had used full conventional power.	The United States has no power to use.	contradiction	contradiction	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-	-	-	24103c	slate
Several of its beaches are officially designated for nudism (known locally as naturisme) the most popular being Pointe Tarare and a functionary who is a Chevalier de la L??gion d'Honneur has been appointed to supervise all aspects of sunning in the buff.	There are no people who sun in the bluff.	contradiction	contradiction	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	-	-	-	103364c	travel
I spent hours daydreaming and looking at old pictures of Mom, Dad, Sarah, and me. 	I looked at old movies.	contradiction	contradiction	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	-	-	-	141861c	oup
Work a lot harder, um, take some classes that I think are going to interest me more.	Step my game up, sign up to classes I feel will be more interesting.	entailment	entailment	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	-	-	-	3213e	facetoface
Your past support of the Challenger program has been critical to its success these last four years.	Your past support had no impact in the Challenger program	contradiction	contradiction	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	-	-	-	93182c	letters
Simmons, probably rap's greatest entrepreneur, lives in New York; schmoozes bankers, fashion designers, and record executives; and cuts deals with conglomerates such as Time Warner.	Simmons lives in New York and schmoozes fashion designers. 	entailment	entailment	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	-	-	-	50885e	slate
Despite huge projected increases in food production, per capita food consumption in South Asia, the Middle East, and the less-developed nations of Africa will scarcely improve or will actually decline below present inadequate levels.	African nations do not need food to survive. 	contradiction	contradiction	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	-	-	-	15791c	slate
Sun Ra's spaceships did not come, as it were, out of nowhere.	The spaceships did not come out of nowhere.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	1771e	slate
The Hadith, which recount Mohammed's sayings and deeds as recorded by his contemporaries, are another fundamental source.	The Hadith has a lot of Jesus's sayings.	contradiction	contradiction	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	-	-	-	33866c	nineeleven
And, as one would expect, the higher the variation in week-to-week demand, the more inventory a manufacturer must hold to meet a retailer's high service expectations.	Less inventory has to be held when there's high weekly demand variation.	contradiction	contradiction	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	-	-	-	30234c	oup
 It took me really a long time to sort what was going on in my mind out,  she said.	She said that she knew instantly what was going on in her mind.	contradiction	contradiction	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	-	-	-	66050c	verbatim
Rosy, too, had seen the tune as Muskrat, Muskat , and Muscat .  I asked him what he thought the original title was.	Rosy had seen the tune with several names.	entailment	entailment	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	-	-	-	139723e	verbatim
Rightly or wrongly, America is seen as globalization's prime mover and head cheerleader and will be blamed for its excesses until we start paying official attention to them.	America has not played a large roll in the globalization movement compared to other world powers. 	contradiction	contradiction	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	-	-	-	18635c	slate
Throwing up.	She was fine, eating.	contradiction	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-	-	-	108949c	facetoface
You'd better do it right!	You need to do it right	entailment	entailment	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	96271e	verbatim
yeah and i'll do this uh sometimes i'll put my after I pour that into my back into my saucepan i'll put the eggs in the same dish and beat them up and then pour the cornstarch and the milk mixture in the egg so	Sometimes I put the eggs in the same dish and add the cornstarch.	entailment	contradiction	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	-	-	-	30984e	telephone
I went on, 'I'm going to warn you, whether you like it or not. 	I won't warm you since you don't want me to. 	contradiction	contradiction	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	-	-	-	123269c	fiction
uh well no i just know i know several single mothers who absolutely can't afford it they have to go with the a single uh what i mean a babysitter more more or less	Most of the single mothers I know would easily be able to afford it.	contradiction	contradiction	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0	-	-	-	120346c	telephone
I like working and making money.	I hate working but I love to buy clothes.	contradiction	contradiction	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	-	-	-	120348c	letters
Prototyping, for example, may act as part of the requirements definition process, helping the agency identify and control areas of high uncertainty and technical risk.	Prototyping is not important, testing with the actual finished product is better.	contradiction	contradiction	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	-	-	-	85309c	government
How does the YWCA differ from other organizations that provide health, fitness, social and education services?	Can you give me directions to the nearest gym?	contradiction	contradiction	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	-	-	-	1947c	letters
it takes so much i mean it's like of course it does i mean by the times it transforms into Wave by mark off model and you put it in there and you want to correct those and then you know you're trying to make the the Wave smooth so you can approximately of course it's going to take a lot	It takes a lot of spirit to do it.	entailment	entailment	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-	-	-	23261n	telephone
Please send the largest contribution you can comfortably make.	Please send as much as you are willing to spend.	entailment	entailment	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-	-	-	112623e	letters
Incoming strays increased by 19 percent over the last three years and is expected to continue to climb.	The last three years saw a 19 percent increased in incoming strays.	entailment	entailment	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	-	-	-	87758e	letters
At that point in time, the Langley pilots did not know the threat they were facing, did not know where United 93 was located, and did not have shootdown authorization.	In that moment the Langley pilots were unaware of the threat, the location of United 93 and had no authorization to engage.	entailment	entailment	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	-	-	-	126247e	nineeleven
The Passaic office is refusing to join in that reconfiguration, which goes into effect Jan.	It will be reconfigured in January. 	entailment	entailment	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	-	-	-	85860e	government
they ought to take all them little misdemeanor people let them go let them go	they shouldn't let go of the misdemeanor people	contradiction	contradiction	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	-	-	-	135876c	telephone
Please show your support and make a gift.	You can show your support by not giving a gift. 	contradiction	contradiction	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-	-	-	121880c	letters
It is worth a visit, if only to see the theater itself.	The place is definitely worth visiting, especially for its theater.	entailment	entailment	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	-	-	-	100712e	travel
I don't know what I would have done without Legal Services, said James. 	James said Legal Services was of no help.	contradiction	contradiction	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	-	-	-	145472c	government
They touch an object, hold it up, or point to it while looking at another person to make sure he or she notices.	They will never get attention by pointing at an object while looking at another person.	contradiction	contradiction	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	-	-	-	90100c	oup
Improvements in architecture, regaining intimate space and scale and all the rest, won't disguise the ugliness of advertising the local bank, Chevy dealer, and chain retailer as a backdrop for baseball.	Local advertisements are ugly.	entailment	neutral	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	-	-	-	74078e	slate
To recognize donors who have achieved this level, Dean Lefstein has now established the Black Cane Society.	The Black Cane Society is not open to donations.  	contradiction	contradiction	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	-	-	-	143070c	letters
Writing containing such labored figures makes for hard reading.	Reading texts with labored figures is difficult.	entailment	entailment	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-	-	-	15783e	verbatim
Tuition for the 1999-2000 school year is $6,250 and is expected to go up next year.	This year's tuition is $6250.	entailment	neutral	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	-	-	-	84955e	letters
In our family we have two sons in public life.	Our family has two sons in the public eye. 	entailment	entailment	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-	-	-	77140e	slate
The Secret Service agent felt strongly that the situation in Washington was too unstable for the President to return there, and Card agreed.	Card did not agree with the Secret Service agent..	contradiction	contradiction	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	-	-	-	63414c	nineeleven
The movie isn't clear on where the secret report that kicked off Bergman's interest in tobacco came from, or who in the FDA thought it was a good idea to turn him onto Wigand.	Bergman was turned onto Wigand by the government.	entailment	entailment	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	-	-	-	101046e	slate
Then he sobered.	He was always sober.	contradiction	contradiction	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-	-	-	82415c	fiction
You're the Desert Ghost.	You're a living desert camel.	contradiction	contradiction	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	50248c	fiction
But the most sustained assault on Orientalism 's premises, and on its prestige, came from the left.	The attack on their premises came from the left.	entailment	contradiction	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	-	-	-	87319e	slate
2.5 Financial audits are performed under the American Institute of Certified Public Accountants' (AICPA) generally accepted auditing standards for field work and reporting, as well as the related AICPA Statements on Auditing Standards (SASs) which interpret the standards and provide guidance on conducting such work.	The AICPA is the American Institute of Certified Public Accountants.	entailment	entailment	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	-	-	-	59843n	government
i'm not exactly sure	I'm not sure.	entailment	entailment	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-	-	-	30576e	telephone
'These are human lives.	These are animal lives 	contradiction	contradiction	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-	-	-	123953c	government
Grandpop was a very quiet, somber man he wouldn't say much but uh, Gra ndmom was a little more boisterous.	Grandpop was the noisiest old person on the face of the earth.	contradiction	contradiction	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	-	-	-	3465c	facetoface
In April 1453 the Sultan's armies massed outside the city walls, outnumbering the Byzantines ten to one.	There were ten times as many of the Sultan's armies than Byzantines.	entailment	entailment	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	-	-	-	58192e	travel
during the whole war he never put out like a conservation a conservation effort for oil	In the war we never set out to conserve oil.	entailment	entailment	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	26844e	telephone
I jumped, coat tails flapping.	I jumped while wearing a coat.	entailment	entailment	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	-	-	-	105253e	fiction
Meanwhile, a manager from Boston Center reported that they had deciphered what they had heard in one of the first hijacker transmissions from American 11: Boston  Hey . . . you still there?	A manager from the Boston center said they heard a hijacker transmission.	entailment	entailment	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-	-	-	113284e	nineeleven
We have concluded, from the available evidence, that the Vice President arrived in the room shortly before 10:00, perhaps at 9:58.	The Vice President never made it to the room and was redirected to a safe spot.	contradiction	contradiction	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	-	-	-	40158c	nineeleven
Orwell constructed an alternative future in his vision of the totalitarian state, Nineteen Eighty-Four .  The work has given English a small lode of  the title itself connotes a society marked by government terror and propaganda destroying the public's consciousness of reality (the OED Supplement also accepts 1984 and 1984-ish as adjective forms); that government's official language, Newspeak , now indicates the propagandistic or ambiguous language of, among others, politicians, bureaucrats, and broadcasters ( revenue enhancement  for  tax increase,  etc.); the twisting of minds to the capacity to accept the validity of utterly contradictory opinions or beliefs, or double-think ; the book's head of state, Big Brother , implies an apparently benevolent, but really ruthless, omnipotent, and omniscient state authority.	Orwell's novel, Nineteen Eight-Four, gave several words to English including 1984, Newspeak, and double-think.	entailment	entailment	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	-	-	-	66983e	verbatim
To begin with, the adoption of bar codes came before rapid replenishment arrangements because retailers required a low-cost means of collecting information at the detailed product level for their own use'that is, they first developed an efficient method for scanning prices at the check-out register and tracking products for internal inventory purposes.	Bar codes were never adopted for information collection by retailers.	contradiction	contradiction	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	-	-	-	20550c	oup
It also describes the results of the scenario analysis, both in terms of the various marginal costs associated with emission control strategies and the economy-wide impact of each scenario.	It includes no description of what impacts or price will be exacted by emission control strategies.	contradiction	contradiction	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	-	-	-	76755c	government
Work hard study balance your time, you know.	Be lazy, don't work, don't study, you know.	contradiction	contradiction	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	-	-	-	38364c	facetoface
oh yeah all all mine are uh purebreds so i keep them in	none of mine are mutts	entailment	entailment	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	-	-	-	84232e	telephone
"""You are sure that you did not in any way disclose your identity?"""" Tommy shook his head."""	I wish you hadn't revealed your identity, that was a mistake.	contradiction	neutral	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-	-	-	77025c	fiction
Furthermore, both language progress and an array of emergent-literacy skills can be predicted by the sheer amount of verbal interaction in the home during the first few years of life'a relationship that holds for children of all socioeconomic levels.	Language progress and literacy skills can not be predicted.	contradiction	contradiction	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	-	-	-	74789c	oup
However, co-requesters cannot approve additional co-requesters or restrict the timing of the release of the product after it is issued.	They cannot restrict timing of the release of the product.	entailment	entailment	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	-	-	-	134514n	government
Thanks for your courtesy in reviewing this request.	I wish you had shown more courtesy with my request. 	contradiction	contradiction	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	-	-	-	96655c	letters
But between water and watt there are fifty-four main entries in Cobuild and 148 in CED . They share such entries as water biscuit and waterworks . But in addition CED alone enters water measurer (a `bug'), Watford (a `town north of London'), etc.	Cobuild's collection of words between water and watt is much larger than CED's.	contradiction	contradiction	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	-	-	-	10481c	verbatim
Endorphins were flowing.	My endorphins were flowing.	entailment	entailment	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-	-	-	139362e	fiction
You didn't like them?	Who were they?	contradiction	contradiction	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-	-	-	89235c	facetoface
NEH-supported exhibitions were distinguished by their elaborate wall panels--educational maps, photomurals, stenciled treatises--which competed with the objects themselves for space and attention.	The exhibition was too bare and too boring. 	contradiction	contradiction	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	-	-	-	82174c	slate
"""But in all probability the girl will have entirely forgotten the intervening period, and will take up life where she left off at the sinking of the Lusitania."""""""	The girl will have most likely forgotten that period.	entailment	entailment	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	-	-	-	132413e	fiction
